count	time
3762	2445754
3763	2445842
3764	2445878
3765	2445886
3766	2445941
3767	2446020
3768	2446069
3769	2446094
3770	2446123
3771	2446163
3772	2446174
3773	2446224
3774	2446271
3775	2446314
3776	2446456
3777	2446456
3778	2446476
3779	2446643
3780	2446647
3781	2446743
3782	2446756
3783	2446868
3784	2446917
3785	2447031
3786	2447045
3787	2447076
3788	2447122
3789	2447161
3790	2447217
3791	2447277
3792	2447320
3793	2447320
3794	2447416
3795	2447423
3796	2447455
3797	2447517
3798	2447553
3799	2447571
3800	2447635
3801	2447698
3802	2447730
3803	2447746
3804	2447789
3805	2447856
3806	2447898
3807	2447908
3808	2447931
3809	2447986
3810	2448018
3811	2448056
3812	2448077
3813	2448145
3814	2448146
3815	2448287
3816	2448298
3817	2448351
3818	2448356
3819	2448390
3820	2448463
3821	2448595
3822	2448631
3823	2448789
3824	2448797
3825	2448814
3826	2449007
3827	2449026
3828	2449031
3829	2449068
3830	2449208
3831	2449212
3832	2449227
3833	2449392
3834	2449425
3835	2449505
3836	2449811
3837	2449897
3838	2450106
3839	2450135
3840	2450214
3841	2450215
3842	2450356
3843	2450382
3844	2450387
3845	2450402
3846	2450554
3847	2450593
3848	2450619
3849	2450628
3850	2450717
3851	2450762
3852	2450791
3853	2450830
3854	2450973
3855	2451009
3856	2451273
3857	2451383
3858	2451547
3859	2451741
3860	2451894
3861	2452058
3862	2452116
3863	2452214
3864	2452311
3865	2452508
3866	2452621
3867	2452767
3868	2452850
3869	2452993
3870	2453072
3871	2453148
3872	2455126
3873	2455511
3874	2455677
3875	2455921
3876	2456049
3877	2456262
3878	2456360
3879	2456550
3880	2456685
3881	2456968
3882	2458943
3883	2459118
3884	2459284
3885	2459323
3886	2459478
3887	2459528
3888	2460341
3889	2461529
3890	2462205
3891	2462425
3892	2462919
3893	2463009
3894	2463117
3895	2463225
3896	2463739
3897	2464613
3898	2464619
3899	2464910
3900	2465254
3901	2465401
3902	2465431
3903	2465627
3904	2465820
3905	2466375
3906	2466662
3907	2466838
3908	2466912
3909	2467092
3910	2467336
3911	2467540
3912	2467735
3913	2467815
3914	2468114
3915	2468226
3916	2468290
3917	2468403
3918	2468590
3919	2468593
3920	2468789
3921	2468898
3922	2468946
3923	2469146
3924	2469462
3925	2470671
3926	2470925
3927	2471128
3928	2471442
3929	2471862
3930	2471999
3931	2473091
3932	2473102
3933	2473228
3934	2473310
3935	2473555
3936	2473755
3937	2473788
3938	2473834
3939	2473964
3940	2473978
3941	2474201
3942	2474242
3943	2474381
3944	2474599
3945	2474785
3946	2475041
3947	2475150
3948	2475174
3949	2475264
3950	2475297
3951	2475341
3952	2475516
3953	2475533
3954	2475591
3955	2475696
3956	2475703
3957	2475763
3958	2475790
3959	2475898
3960	2475989
3961	2476149
3962	2476161
3963	2476203
3964	2476288
3965	2476356
3966	2476489
3967	2476504
3968	2476598
3969	2476781
3970	2476905
3971	2476913
3972	2476983
3973	2477031
3974	2477106
3975	2477143
3976	2477245
3977	2477305
3978	2477320
3979	2477398
3980	2477483
3981	2477489
3982	2477510
3983	2477532
3984	2477591
3985	2477598
3986	2477675
3987	2477702
3988	2477718
3989	2477740
3990	2477756
3991	2477840
3992	2477851
3993	2477887
3994	2478000
3995	2478143
3996	2478145
3997	2478147
3998	2478226
3999	2478309
4000	2478358
4001	2478401
4002	2478502
4003	2478595
4004	2478597
4005	2478625
4006	2478707
4007	2478773
4008	2478859
4009	2478925
4010	2479059
4011	2479134
4012	2479160
4013	2479366
4014	2479372
4015	2479390
4016	2479484
4017	2479594
4018	2479600
4019	2479655
4020	2479719
4021	2479773
4022	2479844
4023	2479925
4024	2479951
4025	2479987
4026	2480104
4027	2480120
4028	2480129
4029	2480311
4030	2480343
4031	2480458
4032	2480510
4033	2480610
4034	2480647
4035	2480749
4036	2481220
4037	2481233
4038	2481357
4039	2481374
4040	2481387
4041	2481402
4042	2481418
4043	2481574
4044	2481574
4045	2481583
4046	2481592
4047	2481757
4048	2481771
4049	2481809
4050	2481920
4051	2482113
4052	2482312
4053	2482517
4054	2482598
4055	2482628
4056	2482638
4057	2482792
4058	2482977
4059	2483310
4060	2483391
